algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
simulated_annealing,flat1000_50_0,1000,245000,138,,602.986,ok
simulated_annealing,flat1000_60_0,1000,245830,140,,582.111,ok
simulated_annealing,flat1000_76_0,1000,246708,139,,575.731,ok
simulated_annealing,flat300_20_0,300,21375,53,,9.831,ok
simulated_annealing,flat300_26_0,300,21633,52,,10.500,ok
simulated_annealing,flat300_28_0,300,21695,53,,9.947,ok
simulated_annealing,fpsol2.i.1,496,11654,66,,7.821,ok
simulated_annealing,fpsol2.i.2,451,8691,31,,9.619,ok
simulated_annealing,fpsol2.i.3,425,8688,31,,9.483,ok
simulated_annealing,games120,120,638,9,,0.442,ok
simulated_annealing,homer,561,1628,14,,2.363,ok
simulated_annealing,huck,74,301,11,,0.288,ok
simulated_annealing,inithx.i.1,864,18707,55,,26.761,ok
simulated_annealing,inithx.i.2,645,13979,31,,25.474,ok
simulated_annealing,inithx.i.3,621,13969,31,,21.748,ok
simulated_annealing,jean,80,254,10,,0.286,ok
simulated_annealing,latin_square_10,900,307350,197,,360.353,ok
simulated_annealing,le450_15a,450,8168,21,,4.386,ok
simulated_annealing,le450_15b,450,8169,21,,4.159,ok
simulated_annealing,le450_15c,450,16680,29,,9.028,ok
simulated_annealing,le450_15d,450,16750,31,,9.039,ok
simulated_annealing,le450_25a,450,8260,26,,5.019,ok
simulated_annealing,le450_25b,450,8263,25,,4.782,ok
simulated_annealing,le450_25c,450,17343,32,,11.476,ok
simulated_annealing,le450_25d,450,17425,34,,10.774,ok
simulated_annealing,le450_5a,450,5714,12,,4.801,ok
simulated_annealing,le450_5b,450,5734,11,,6.976,ok
simulated_annealing,le450_5c,450,9803,12,,16.021,ok
simulated_annealing,le450_5d,450,9757,10,,19.839,ok
simulated_annealing,miles1000,128,3216,44,,1.049,ok
simulated_annealing,miles1500,128,5198,73,,1.285,ok
simulated_annealing,miles250,128,387,9,,0.364,ok
simulated_annealing,miles500,128,1170,20,,0.488,ok
simulated_annealing,miles750,128,2113,31,,0.799,ok
simulated_annealing,mulsol.i.1,197,3925,50,,2.263,ok
simulated_annealing,mulsol.i.2,188,3885,31,,2.128,ok
simulated_annealing,mulsol.i.3,184,3916,32,,2.149,ok
simulated_annealing,mulsol.i.4,185,3946,32,,2.200,ok
simulated_annealing,mulsol.i.5,186,3973,31,,2.787,ok
simulated_annealing,myciel3,11,20,4,,0.073,ok
simulated_annealing,myciel4,23,71,5,,0.201,ok
simulated_annealing,myciel5,47,236,6,,0.196,ok
simulated_annealing,myciel6,95,755,7,,0.487,ok
simulated_annealing,myciel7,191,2360,8,,2.782,ok
simulated_annealing,queen10_10,100,1470,14,,2.155,ok
simulated_annealing,queen11_11,121,1980,15,,2.080,ok
simulated_annealing,queen12_12,144,2596,18,,2.156,ok
simulated_annealing,queen13_13,169,3328,20,,2.294,ok
simulated_annealing,queen14_14,196,4186,25,,1.320,ok
simulated_annealing,queen15_15,225,5180,23,,2.766,ok
simulated_annealing,queen16_16,256,6320,25,,5.120,ok
simulated_annealing,queen5_5,25,160,7,,0.139,ok
simulated_annealing,queen6_6,36,290,8,,0.306,ok
simulated_annealing,queen7_7,49,476,10,,0.299,ok
simulated_annealing,queen8_12,96,1368,16,,0.487,ok
simulated_annealing,queen8_8,64,728,11,,0.649,ok
simulated_annealing,queen9_9,81,1056,14,,0.636,ok
simulated_annealing,school1,385,19095,46,,15.654,ok
simulated_annealing,school1_nsh,352,14612,41,,13.302,ok
simulated_annealing,zeroin.i.1,211,4100,49,,1.530,ok
simulated_annealing,zeroin.i.2,211,3541,30,,2.549,ok
simulated_annealing,zeroin.i.3,206,3540,31,,2.082,ok
tabu_search,DSJC1000.1,1000,49629,22,,20312.773,ok
tabu_search,DSJC1000.5,1000,499652,,,,timeout(first-pass)
tabu_search,DSJC1000.9,1000,898898,,,,timeout(first-pass)
tabu_search,DSJC125.1,125,736,6,,17.210,ok
tabu_search,DSJC125.5,125,3891,18,,198.944,ok
tabu_search,DSJC125.9,125,6961,51,,373.655,ok
tabu_search,DSJC250.1,250,3218,9,,168.156,ok
tabu_search,DSJC250.5,250,15668,31,,1926.671,ok
tabu_search,DSJC250.9,250,27897,79,,3642.389,ok
tabu_search,DSJC500.1,500,12458,14,,1120.842,ok
tabu_search,DSJC500.5,500,62624,54,,29173.136,ok
tabu_search,DSJC500.9,500,224874,,,,timeout(first-pass)
tabu_search,DSJR500.1,500,3555,12,,269.618,ok
tabu_search,DSJR500.1c,500,121275,92,,43120.134,ok
tabu_search,DSJR500.5,500,58862,138,,13341.096,ok
tabu_search,anna,138,493,11,,21.419,ok
tabu_search,david,87,406,11,,10.582,ok
tabu_search,flat1000_50_0,1000,245000,,,,timeout(first-pass)
tabu_search,flat1000_60_0,1000,245830,,,,timeout(first-pass)
tabu_search,flat1000_76_0,1000,246708,,,,timeout(first-pass)
tabu_search,flat300_20_0,300,21375,20,,26381.885,ok
tabu_search,flat300_26_0,300,21633,33,,7400.361,ok
tabu_search,flat300_28_0,300,21695,34,,4197.893,ok
tabu_search,fpsol2.i.1,496,11654,65,,1486.155,ok
tabu_search,fpsol2.i.2,451,8691,30,,992.490,ok
tabu_search,fpsol2.i.3,425,8688,30,,876.336,ok
tabu_search,games120,120,638,9,,11.639,ok
tabu_search,homer,561,1628,13,,9.827,ok
tabu_search,huck,74,301,11,,5.818,ok
tabu_search,inithx.i.1,864,18707,54,,3444.634,ok
tabu_search,inithx.i.2,645,13979,31,,1758.267,ok
tabu_search,inithx.i.3,621,13969,31,,1753.556,ok
tabu_search,jean,80,254,10,,5.244,ok
tabu_search,latin_square_10,900,307350,,,,timeout(first-pass)
tabu_search,le450_15a,450,8168,16,,1019.478,ok
tabu_search,le450_15b,450,8169,16,,1055.896,ok
tabu_search,le450_15c,450,16680,20,,7408.549,ok
tabu_search,le450_15d,450,16750,20,,9246.829,ok
tabu_search,le450_25a,450,8260,25,,1169.481,ok
tabu_search,le450_25b,450,8263,25,,1104.168,ok
tabu_search,le450_25c,450,17343,28,,3599.175,ok
tabu_search,le450_25d,450,17425,28,,3079.932,ok
tabu_search,le450_5a,450,5714,5,,1691.688,ok
tabu_search,le450_5b,450,5734,5,,1642.587,ok
tabu_search,le450_5c,450,9803,5,,2647.799,ok
tabu_search,le450_5d,450,9757,5,,2670.447,ok
tabu_search,miles1000,128,3216,44,,94.958,ok
tabu_search,miles1500,128,5198,74,,298.728,ok
tabu_search,miles250,128,387,8,,10.622,ok
tabu_search,miles500,128,1170,20,,36.474,ok
tabu_search,miles750,128,2113,32,,52.212,ok
tabu_search,mulsol.i.1,197,3925,49,,168.707,ok
tabu_search,mulsol.i.2,188,3885,31,,230.532,ok
tabu_search,mulsol.i.3,184,3916,31,,199.747,ok
tabu_search,mulsol.i.4,185,3946,31,,191.572,ok
